#time(us)	value
1.000000e+03	9.841381e-01
1.013911e+03	8.859410e-01
1.028016e+03	1.011964e+00
1.042317e+03	9.915218e-01
1.056818e+03	9.865984e-01
1.071519e+03	1.036125e+00
1.086426e+03	9.024004e-01
1.101539e+03	1.006905e+00
1.116863e+03	1.024860e+00
1.132400e+03	9.185299e-01
1.148154e+03	8.570023e-01
1.164126e+03	9.648719e-01
1.180321e+03	9.541456e-01
1.196741e+03	9.254336e-01
1.213389e+03	7.986928e-01
1.230269e+03	1.021346e+00
1.247384e+03	9.519074e-01
1.264736e+03	9.979456e-01
1.282331e+03	9.814578e-01
1.300170e+03	9.651476e-01
1.318257e+03	9.486777e-01
1.336596e+03	1.057576e+00
1.355189e+03	8.751053e-01
1.374042e+03	8.918173e-01
1.393157e+03	8.846121e-01
1.412538e+03	9.190204e-01
1.432188e+03	9.823644e-01
1.452112e+03	1.043097e+00
1.472313e+03	8.414159e-01
1.492794e+03	1.016127e+00
1.513561e+03	9.842881e-01
1.534617e+03	9.529992e-01
1.555966e+03	9.967717e-01
1.577611e+03	1.004599e+00
1.599558e+03	9.617392e-01
1.621810e+03	9.062201e-01
1.644372e+03	9.875433e-01
1.667247e+03	9.875028e-01
1.690441e+03	9.126166e-01
1.713957e+03	9.636770e-01
1.737801e+03	9.736260e-01
1.761976e+03	9.778847e-01
1.786488e+03	9.960957e-01
1.811340e+03	8.592551e-01
1.836538e+03	9.278522e-01
1.862087e+03	8.832460e-01
1.887991e+03	9.703532e-01
1.914256e+03	1.000988e+00
1.940886e+03	9.952733e-01
1.967886e+03	9.967417e-01
1.995262e+03	9.224333e-01
2.023019e+03	8.920843e-01
2.051162e+03	1.017975e+00
2.079697e+03	9.384063e-01
2.108628e+03	9.516447e-01
2.137962e+03	8.924819e-01
2.167704e+03	1.004791e+00
2.197860e+03	9.711386e-01
2.228435e+03	9.793866e-01
2.259436e+03	9.043380e-01
2.290868e+03	1.007969e+00
2.322737e+03	9.866453e-01
2.355049e+03	9.795423e-01
2.387811e+03	9.853946e-01
2.421029e+03	8.835934e-01
2.454709e+03	9.276100e-01
2.488857e+03	9.240629e-01
2.523481e+03	9.805888e-01
2.558586e+03	1.021436e+00
2.594179e+03	8.960055e-01
2.630268e+03	9.297512e-01
2.666859e+03	8.917548e-01
2.703958e+03	9.151125e-01
2.741574e+03	9.977286e-01
2.779713e+03	9.217121e-01
2.818383e+03	9.901443e-01
2.857591e+03	9.191488e-01
2.897344e+03	8.834065e-01
2.937650e+03	9.768853e-01
2.978516e+03	8.832466e-01
3.019952e+03	8.740985e-01
3.061963e+03	8.823158e-01
3.104560e+03	8.992489e-01
3.147748e+03	8.530226e-01
3.191538e+03	9.734656e-01
3.235937e+03	9.232570e-01
3.280953e+03	9.482175e-01
3.326596e+03	1.010861e+00
3.372873e+03	9.432296e-01
3.419794e+03	9.197799e-01
3.467369e+03	8.995297e-01
3.515604e+03	9.811394e-01
3.564511e+03	9.811992e-01
3.614099e+03	9.007682e-01
3.664376e+03	1.025550e+00
3.715352e+03	9.601532e-01
3.767038e+03	9.680255e-01
3.819443e+03	9.487128e-01
3.872576e+03	9.965516e-01
3.926449e+03	9.863746e-01
3.981072e+03	1.034704e+00
4.036454e+03	9.183175e-01
4.092607e+03	1.034217e+00
4.149540e+03	9.044876e-01
4.207266e+03	9.924941e-01
4.265795e+03	9.083946e-01
4.325138e+03	8.584650e-01
4.385307e+03	1.045360e+00
4.446313e+03	9.735392e-01
4.508167e+03	8.915464e-01
4.570882e+03	8.982762e-01
4.634469e+03	9.173346e-01
4.698941e+03	9.357188e-01
4.764310e+03	9.036176e-01
4.830588e+03	9.940522e-01
4.897788e+03	9.729726e-01
4.965923e+03	8.569675e-01
5.035006e+03	9.177113e-01
5.105050e+03	1.024459e+00
5.176068e+03	1.005582e+00
5.248075e+03	9.461862e-01
5.321083e+03	9.177260e-01
5.395106e+03	9.484849e-01
5.470160e+03	1.024135e+00
5.546257e+03	8.598597e-01
5.623413e+03	8.826523e-01
5.701643e+03	9.705798e-01
5.780960e+03	9.019385e-01
5.861382e+03	1.006906e+00
5.942922e+03	9.172483e-01
6.025596e+03	8.243537e-01
6.109420e+03	9.860557e-01
6.194411e+03	8.982752e-01
6.280584e+03	9.558634e-01
6.367955e+03	9.155349e-01
6.456542e+03	9.548810e-01
6.546362e+03	9.413035e-01
6.637431e+03	9.885866e-01
6.729767e+03	9.336048e-01
6.823387e+03	8.491678e-01
6.918310e+03	9.355072e-01
7.014553e+03	9.679738e-01
7.112135e+03	9.783659e-01
7.211075e+03	1.000352e+00
7.311391e+03	9.185020e-01
7.413102e+03	8.912248e-01
7.516229e+03	8.473115e-01
