#time(s)	value
1.000000e-09	9.557764e-01
1.020939e-09	9.557807e-01
1.042317e-09	9.557852e-01
1.064143e-09	9.557897e-01
1.086426e-09	9.557944e-01
1.109175e-09	9.557993e-01
1.132400e-09	9.558042e-01
1.156112e-09	9.558093e-01
1.180321e-09	9.558146e-01
1.205036e-09	9.558199e-01
1.230269e-09	9.558254e-01
1.256030e-09	9.558310e-01
1.282331e-09	9.558368e-01
1.309182e-09	9.558427e-01
1.336596e-09	9.558487e-01
1.364583e-09	9.558548e-01
1.393157e-09	9.558611e-01
1.422329e-09	9.558675e-01
1.452112e-09	9.558741e-01
1.482518e-09	9.558808e-01
1.513561e-09	9.558875e-01
1.545254e-09	9.558945e-01
1.577611e-09	9.559015e-01
1.610646e-09	9.559086e-01
1.644372e-09	9.559159e-01
1.678804e-09	9.559233e-01
1.713957e-09	9.559307e-01
1.749847e-09	9.559383e-01
1.786488e-09	9.559460e-01
1.823896e-09	9.559537e-01
1.862087e-09	9.559615e-01
1.901078e-09	9.559694e-01
1.940886e-09	9.559774e-01
1.981527e-09	9.559854e-01
2.023019e-09	9.559934e-01
2.065380e-09	9.560015e-01
2.108628e-09	9.560096e-01
2.152782e-09	9.560178e-01
2.197860e-09	9.560259e-01
2.243882e-09	9.560340e-01
2.290868e-09	9.560421e-01
2.338837e-09	9.560501e-01
2.387811e-09	9.560581e-01
2.437811e-09	9.560660e-01
2.488857e-09	9.560738e-01
2.540973e-09	9.560815e-01
2.594179e-09	9.560890e-01
2.648500e-09	9.560964e-01
2.703958e-09	9.561037e-01
2.760578e-09	9.561107e-01
2.818383e-09	9.561176e-01
2.877398e-09	9.561242e-01
2.937650e-09	9.561305e-01
2.999163e-09	9.561365e-01
3.061963e-09	9.561422e-01
3.126079e-09	9.561476e-01
3.191538e-09	9.561526e-01
3.258367e-09	9.561572e-01
3.326596e-09	9.561613e-01
3.396253e-09	9.561650e-01
3.467369e-09	9.561682e-01
3.539973e-09	9.561708e-01
3.614099e-09	9.561729e-01
3.689776e-09	9.561744e-01
3.767038e-09	9.561752e-01
3.845918e-09	9.561754e-01
3.926449e-09	9.561748e-01
4.008667e-09	9.561735e-01
4.092607e-09	9.561713e-01
4.178304e-09	9.561684e-01
4.265795e-09	9.561646e-01
4.355119e-09	9.561598e-01
4.446313e-09	9.561541e-01
4.539416e-09	9.561474e-01
4.634469e-09	9.561396e-01
4.731513e-09	9.561308e-01
4.830588e-09	9.561208e-01
4.931738e-09	9.561096e-01
5.035006e-09	9.560972e-01
5.140437e-09	9.560836e-01
5.248075e-09	9.560686e-01
5.357967e-09	9.560523e-01
5.470160e-09	9.560346e-01
5.584702e-09	9.560154e-01
5.701643e-09	9.559948e-01
5.821032e-09	9.559726e-01
5.942922e-09	9.559488e-01
6.067363e-09	9.559234e-01
6.194411e-09	9.558963e-01
6.324119e-09	9.558676e-01
6.456542e-09	9.558371e-01
6.591739e-09	9.558048e-01
6.729767e-09	9.557707e-01
6.870684e-09	9.557347e-01
7.014553e-09	9.556968e-01
7.161434e-09	9.556569e-01
7.311391e-09	9.556151e-01
7.464488e-09	9.555713e-01
7.620790e-09	9.555254e-01
7.780366e-09	9.554774e-01
7.943282e-09	9.554273e-01
8.109611e-09	9.553751e-01
8.279422e-09	9.553207e-01
8.452788e-09	9.552641e-01
8.629785e-09	9.552053e-01
8.810489e-09	9.551442e-01
8.994976e-09	9.550809e-01
9.183326e-09	9.550152e-01
9.375620e-09	9.549473e-01
9.571941e-09	9.548769e-01
9.772372e-09	9.548043e-01
9.977001e-09	9.547293e-01
1.018591e-08	9.546518e-01
1.039920e-08	9.545720e-01
1.061696e-08	9.544898e-01
1.083927e-08	9.544052e-01
1.106624e-08	9.543181e-01
1.129796e-08	9.542286e-01
1.153453e-08	9.541366e-01
1.177606e-08	9.540422e-01
1.202264e-08	9.539454e-01
1.227439e-08	9.538461e-01
1.253141e-08	9.537443e-01
1.279381e-08	9.536401e-01
1.306171e-08	9.535335e-01
1.333521e-08	9.534244e-01
1.361445e-08	9.533128e-01
1.389953e-08	9.531988e-01
1.419058e-08	9.530824e-01
1.448772e-08	9.529635e-01
1.479108e-08	9.528422e-01
1.510080e-08	9.527185e-01
1.541700e-08	9.525923e-01
1.573983e-08	9.524638e-01
1.606941e-08	9.523328e-01
1.640590e-08	9.521995e-01
1.674943e-08	9.520638e-01
1.710015e-08	9.519257e-01
1.745822e-08	9.517852e-01
1.782379e-08	9.516423e-01
1.819701e-08	9.514971e-01
1.857804e-08	9.513496e-01
1.896706e-08	9.511996e-01
1.936422e-08	9.510474e-01
1.976970e-08	9.508928e-01
2.018366e-08	9.507359e-01
2.060630e-08	9.505766e-01
2.103778e-08	9.504150e-01
2.147830e-08	9.502510e-01
2.192805e-08	9.500847e-01
2.238721e-08	9.499161e-01
2.285599e-08	9.497451e-01
2.333458e-08	9.495717e-01
2.382319e-08	9.493960e-01
2.432204e-08	9.492179e-01
2.483133e-08	9.490374e-01
2.535129e-08	9.488544e-01
2.588213e-08	9.486691e-01
2.642409e-08	9.484812e-01
2.697739e-08	9.482909e-01
2.754229e-08	9.480981e-01
2.811901e-08	9.479027e-01
2.870781e-08	9.477048e-01
2.930893e-08	9.475042e-01
2.992265e-08	9.473010e-01
3.054921e-08	9.470951e-01
3.118890e-08	9.468865e-01
3.184198e-08	9.466751e-01
3.250873e-08	9.464608e-01
3.318945e-08	9.462437e-01
3.388442e-08	9.460236e-01
3.459394e-08	9.458005e-01
3.531832e-08	9.455742e-01
3.605786e-08	9.453449e-01
3.681290e-08	9.451123e-01
3.758374e-08	9.448763e-01
3.837072e-08	9.446370e-01
3.917419e-08	9.443942e-01
3.999447e-08	9.441479e-01
4.083194e-08	9.438978e-01
4.168694e-08	9.436440e-01
4.255984e-08	9.433864e-01
4.345102e-08	9.431248e-01
4.436086e-08	9.428590e-01
4.528976e-08	9.425891e-01
4.623810e-08	9.423149e-01
4.720630e-08	9.420362e-01
4.819478e-08	9.417530e-01
4.920395e-08	9.414651e-01
5.023426e-08	9.411724e-01
5.128614e-08	9.408747e-01
5.236004e-08	9.405719e-01
5.345644e-08	9.402638e-01
5.457579e-08	9.399504e-01
5.571857e-08	9.396314e-01
5.688529e-08	9.393067e-01
5.807644e-08	9.389762e-01
5.929253e-08	9.386396e-01
6.053409e-08	9.382969e-01
6.180164e-08	9.379478e-01
6.309573e-08	9.375922e-01
6.441693e-08	9.372300e-01
6.576578e-08	9.368608e-01
6.714289e-08	9.364847e-01
6.854882e-08	9.361013e-01
6.998420e-08	9.357105e-01
7.144963e-08	9.353121e-01
7.294575e-08	9.349060e-01
7.447320e-08	9.344919e-01
7.603263e-08	9.340697e-01
7.762471e-08	9.336391e-01
7.925013e-08	9.332000e-01
8.090959e-08	9.327522e-01
8.260379e-08	9.322955e-01
8.433348e-08	9.318297e-01
8.609938e-08	9.313546e-01
8.790225e-08	9.308700e-01
8.974288e-08	9.303757e-01
9.162205e-08	9.298715e-01
9.354057e-08	9.293572e-01
9.549926e-08	9.288326e-01
9.749896e-08	9.282976e-01
9.954054e-08	9.277518e-01
1.016249e-07	9.271953e-01
1.037528e-07	9.266276e-01
1.059254e-07	9.260487e-01
1.081434e-07	9.254584e-01
1.104079e-07	9.248564e-01
1.127197e-07	9.242426e-01
1.150800e-07	9.236168e-01
1.174898e-07	9.229787e-01
1.199499e-07	9.223283e-01
1.224616e-07	9.216654e-01
1.250259e-07	9.209897e-01
1.276439e-07	9.203010e-01
1.303167e-07	9.195993e-01
1.330454e-07	9.188843e-01
1.358313e-07	9.181559e-01
1.386756e-07	9.174139e-01
1.415794e-07	9.166581e-01
1.445440e-07	9.158884e-01
1.475707e-07	9.151047e-01
1.506607e-07	9.143067e-01
1.538155e-07	9.134944e-01
1.570363e-07	9.126675e-01
1.603245e-07	9.118260e-01
1.636817e-07	9.109697e-01
1.671091e-07	9.100985e-01
1.706082e-07	9.092123e-01
1.741807e-07	9.083109e-01
1.778279e-07	9.073943e-01
1.815516e-07	9.064622e-01
1.853532e-07	9.055147e-01
1.892344e-07	9.045516e-01
1.931968e-07	9.035729e-01
1.972423e-07	9.025783e-01
2.013724e-07	9.015680e-01
2.055891e-07	9.005417e-01
2.098940e-07	8.994994e-01
2.142891e-07	8.984411e-01
2.187762e-07	8.973666e-01
2.233572e-07	8.962760e-01
2.280342e-07	8.951692e-01
2.328091e-07	8.940462e-01
2.376840e-07	8.929069e-01
2.426610e-07	8.917513e-01
2.477422e-07	8.905795e-01
2.529298e-07	8.893913e-01
2.582260e-07	8.881868e-01
2.636331e-07	8.869660e-01
2.691535e-07	8.857289e-01
2.747894e-07	8.844756e-01
2.805434e-07	8.832060e-01
2.864178e-07	8.819202e-01
2.924152e-07	8.806183e-01
2.985383e-07	8.793003e-01
3.047895e-07	8.779663e-01
3.111716e-07	8.766164e-01
3.176874e-07	8.752505e-01
3.243396e-07	8.738689e-01
3.311311e-07	8.724717e-01
3.380648e-07	8.710588e-01
3.451437e-07	8.696305e-01
3.523709e-07	8.681869e-01
3.597493e-07	8.667281e-01
3.672823e-07	8.652542e-01
3.749730e-07	8.637654e-01
3.828247e-07	8.622620e-01
3.908409e-07	8.607439e-01
3.990249e-07	8.592115e-01
4.073803e-07	8.576649e-01
4.159106e-07	8.561043e-01
4.246196e-07	8.545300e-01
4.335109e-07	8.529421e-01
4.425884e-07	8.513408e-01
4.518559e-07	8.497265e-01
4.613176e-07	8.480994e-01
4.709773e-07	8.464596e-01
4.808393e-07	8.448076e-01
4.909079e-07	8.431435e-01
5.011872e-07	8.414676e-01
5.116818e-07	8.397803e-01
5.223962e-07	8.380819e-01
5.333349e-07	8.363726e-01
5.445027e-07	8.346528e-01
5.559043e-07	8.329228e-01
5.675446e-07	8.311829e-01
5.794287e-07	8.294336e-01
5.915616e-07	8.276751e-01
6.039486e-07	8.259078e-01
6.165950e-07	8.241321e-01
6.295062e-07	8.223484e-01
6.426877e-07	8.205570e-01
6.561453e-07	8.187585e-01
6.698846e-07	8.169531e-01
6.839116e-07	8.151412e-01
6.982324e-07	8.133234e-01
7.128530e-07	8.115000e-01
7.277798e-07	8.096714e-01
7.430191e-07	8.078382e-01
7.585776e-07	8.060006e-01
7.744618e-07	8.041593e-01
7.906786e-07	8.023146e-01
8.072350e-07	8.004670e-01
8.241381e-07	7.986170e-01
8.413951e-07	7.967650e-01
8.590135e-07	7.949116e-01
8.770008e-07	7.930571e-01
8.953648e-07	7.912022e-01
9.141132e-07	7.893472e-01
9.332543e-07	7.874926e-01
9.527962e-07	7.856390e-01
9.727472e-07	7.837868e-01
9.931160e-07	7.819365e-01
1.013911e-06	7.800887e-01
1.035142e-06	7.782438e-01
1.056818e-06	7.764022e-01
1.078947e-06	7.745647e-01
1.101539e-06	7.727315e-01
1.124605e-06	7.709032e-01
1.148154e-06	7.690803e-01
1.172195e-06	7.672634e-01
1.196741e-06	7.654527e-01
1.221800e-06	7.636489e-01
1.247384e-06	7.618525e-01
1.273503e-06	7.600639e-01
1.300170e-06	7.582836e-01
1.327394e-06	7.565122e-01
1.355189e-06	7.547499e-01
1.383566e-06	7.529973e-01
1.412538e-06	7.512548e-01
1.442115e-06	7.495231e-01
1.472313e-06	7.478023e-01
1.503142e-06	7.460930e-01
1.534617e-06	7.443956e-01
1.566751e-06	7.427106e-01
1.599558e-06	7.410382e-01
1.633052e-06	7.393790e-01
1.667247e-06	7.377334e-01
1.702159e-06	7.361016e-01
1.737801e-06	7.344841e-01
1.774189e-06	7.328813e-01
1.811340e-06	7.312934e-01
1.849269e-06	7.297209e-01
1.887991e-06	7.281641e-01
1.927525e-06	7.266231e-01
1.967886e-06	7.250985e-01
2.009093e-06	7.235904e-01
2.051162e-06	7.220992e-01
2.094112e-06	7.206251e-01
2.137962e-06	7.191682e-01
2.182730e-06	7.177290e-01
2.228435e-06	7.163076e-01
2.275097e-06	7.149041e-01
2.322737e-06	7.135189e-01
2.371374e-06	7.121520e-01
2.421029e-06	7.108036e-01
2.471724e-06	7.094739e-01
2.523481e-06	7.081630e-01
2.576321e-06	7.068710e-01
2.630268e-06	7.055980e-01
2.685344e-06	7.043441e-01
2.741574e-06	7.031093e-01
2.798981e-06	7.018938e-01
2.857591e-06	7.006974e-01
2.917427e-06	6.995203e-01
2.978516e-06	6.983624e-01
3.040885e-06	6.972237e-01
3.104560e-06	6.961042e-01
3.169567e-06	6.950039e-01
3.235937e-06	6.939226e-01
3.303695e-06	6.928603e-01
3.372873e-06	6.918168e-01
3.443499e-06	6.907921e-01
3.515604e-06	6.897860e-01
3.589219e-06	6.887984e-01
3.664376e-06	6.878291e-01
3.741106e-06	6.868779e-01
3.819443e-06	6.859446e-01
3.899420e-06	6.850290e-01
3.981072e-06	6.841310e-01
4.064433e-06	6.832501e-01
4.149540e-06	6.823862e-01
4.236430e-06	6.815390e-01
4.325138e-06	6.807083e-01
4.415704e-06	6.798936e-01
4.508167e-06	6.790948e-01
4.602566e-06	6.783114e-01
4.698941e-06	6.775431e-01
4.797334e-06	6.767896e-01
4.897788e-06	6.760505e-01
5.000345e-06	6.753255e-01
5.105050e-06	6.746140e-01
5.211947e-06	6.739158e-01
5.321083e-06	6.732304e-01
5.432503e-06	6.725574e-01
5.546257e-06	6.718963e-01
5.662393e-06	6.712467e-01
5.780960e-06	6.706082e-01
5.902011e-06	6.699803e-01
6.025596e-06	6.693625e-01
6.151769e-06	6.687543e-01
6.280584e-06	6.681553e-01
6.412096e-06	6.675649e-01
6.546362e-06	6.669827e-01
6.683439e-06	6.664081e-01
6.823387e-06	6.658406e-01
6.966265e-06	6.652798e-01
7.112135e-06	6.647250e-01
7.261060e-06	6.641758e-01
7.413102e-06	6.636316e-01
