#time(us)	value
1.000000e-03	9.915506e-01
1.020939e-03	9.941215e-01
1.042317e-03	1.005205e+00
1.064143e-03	9.882861e-01
1.086426e-03	1.007905e+00
1.109175e-03	9.984806e-01
1.132400e-03	1.004092e+00
1.156112e-03	9.918560e-01
1.180321e-03	1.000566e+00
1.205036e-03	9.944088e-01
1.230269e-03	1.002459e+00
1.256030e-03	9.981136e-01
1.282331e-03	9.947202e-01
1.309182e-03	9.936801e-01
1.336596e-03	9.888790e-01
1.364583e-03	1.003577e+00
1.393157e-03	9.885126e-01
1.422329e-03	1.000178e+00
1.452112e-03	1.004655e+00
1.482518e-03	9.973447e-01
1.513561e-03	1.005860e+00
1.545254e-03	1.001434e+00
1.577611e-03	1.006868e+00
1.610646e-03	9.956207e-01
1.644372e-03	1.007932e+00
1.678804e-03	1.004728e+00
1.713957e-03	9.973162e-01
1.749847e-03	9.988130e-01
1.786488e-03	1.003992e+00
1.823896e-03	1.002202e+00
1.862087e-03	1.005323e+00
1.901078e-03	9.975034e-01
1.940886e-03	9.942161e-01
1.981527e-03	9.945725e-01
2.023019e-03	1.007702e+00
2.065380e-03	1.003178e+00
2.108628e-03	9.961660e-01
2.152782e-03	1.007549e+00
2.197860e-03	9.953656e-01
2.243882e-03	9.965115e-01
2.290868e-03	9.935459e-01
2.338837e-03	9.973531e-01
2.387811e-03	9.924003e-01
2.437811e-03	1.007073e+00
2.488857e-03	9.976455e-01
2.540973e-03	9.964798e-01
2.594179e-03	1.004132e+00
2.648500e-03	1.004209e+00
2.703958e-03	1.001185e+00
2.760578e-03	1.002691e+00
2.818383e-03	1.004286e+00
2.877398e-03	1.001293e+00
2.937650e-03	1.003448e+00
2.999163e-03	1.000826e+00
3.061963e-03	9.973993e-01
3.126079e-03	9.959133e-01
3.191538e-03	1.004460e+00
3.258367e-03	1.004483e+00
3.326596e-03	1.004695e+00
3.396253e-03	9.971014e-01
3.467369e-03	9.956080e-01
3.539973e-03	9.927014e-01
3.614099e-03	9.955946e-01
3.689776e-03	9.949536e-01
3.767038e-03	1.003623e+00
3.845918e-03	1.003257e+00
3.926449e-03	9.931593e-01
4.008667e-03	9.947631e-01
4.092607e-03	1.004572e+00
4.178304e-03	9.978982e-01
4.265795e-03	9.959933e-01
4.355119e-03	1.004605e+00
4.446313e-03	1.005839e+00
4.539416e-03	9.927864e-01
4.634469e-03	1.002566e+00
4.731513e-03	1.000547e+00
4.830588e-03	1.004143e+00
4.931738e-03	9.983777e-01
5.035006e-03	9.937941e-01
5.140437e-03	1.003242e+00
5.248075e-03	9.936007e-01
5.357967e-03	9.959104e-01
5.470160e-03	1.008859e+00
5.584702e-03	9.976690e-01
5.701643e-03	9.992751e-01
5.821032e-03	9.932470e-01
5.942922e-03	9.987382e-01
6.067363e-03	9.906599e-01
6.194411e-03	1.006113e+00
6.324119e-03	9.948393e-01
6.456542e-03	1.001091e+00
6.591739e-03	9.921980e-01
6.729767e-03	9.968932e-01
6.870684e-03	9.971693e-01
7.014553e-03	1.003553e+00
7.161434e-03	1.004541e+00
7.311391e-03	9.881077e-01
7.464488e-03	9.915021e-01
7.620790e-03	1.000036e+00
7.780366e-03	9.890241e-01
7.943282e-03	1.004033e+00
8.109611e-03	1.004757e+00
8.279422e-03	9.931629e-01
8.452788e-03	1.010535e+00
8.629785e-03	9.937125e-01
8.810489e-03	1.008759e+00
8.994976e-03	9.905024e-01
9.183326e-03	9.939457e-01
9.375620e-03	9.950042e-01
9.571941e-03	1.001414e+00
9.772372e-03	9.995922e-01
9.977001e-03	9.991274e-01
1.018591e-02	9.917069e-01
1.039920e-02	9.896585e-01
1.061696e-02	9.952597e-01
1.083927e-02	9.947469e-01
1.106624e-02	1.002578e+00
1.129796e-02	1.005549e+00
1.153453e-02	9.975135e-01
1.177606e-02	9.934382e-01
